TransactionAmount,PreviousTransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,AgeGroup,AmountGroup,Target
0.007207441957422414,2023-04-11 16:29:14,1,36,0,0.8387096774193548,0,0.24482758620689654,0.0,0.33683185966818,2024-11-04 8:08:08,1,0,3
0.1959402767282487,2023-06-27 16:44:19,1,15,0,0.8064516129032258,0,0.45172413793103444,0.0,0.9180546275595326,2024-11-04 8:09:35,1,0,0
0.0656799645621075,2023-07-10 18:16:08,1,23,2,0.016129032258064557,3,0.1586206896551724,0.0,0.06863734931174438,2024-11-04 8:07:04,2,0,1
0.0960158428225239,2023-05-05 16:32:11,1,33,2,0.12903225806451613,3,0.05172413793103449,0.0,0.569197956003802,2024-11-04 8:09:06,2,0,3
0.04788805795137713,2023-04-03 17:15:01,1,28,0,0.0,3,0.5586206896551724,0.0,0.045737843102722775,2024-11-04 8:06:36,3,0,1
0.4250983662089272,2023-03-31 16:06:57,1,26,0,0.5967741935483871,0,0.3793103448275862,0.0,0.06188385358620237,2024-11-04 8:06:32,0,1,1
0.09889256585975975,2023-02-06 17:30:00,1,22,2,0.04838709677419356,3,0.5620689655172414,0.0,0.09595919536134934,2024-11-04 8:07:12,2,0,1
0.40727519086953123,2023-11-20 16:39:15,1,22,0,0.12903225806451613,3,0.3896551724137931,0.0,0.005944850820811549,2024-11-04 8:07:06,2,1,1
0.08689058550694426,2023-02-13 16:53:57,1,21,2,0.0,3,0.4275862068965517,0.0,0.013355076448200345,2024-11-04 8:10:09,3,0,0
0.2424316647992287,2023-12-12 16:23:31,1,10,0,0.29032258064516125,1,0.4103448275862069,0.0,0.22614430312017286,2024-11-04 8:12:19,2,0,2
0.2567527425280767,2023-12-14 18:32:14,1,8,2,0.33870967741935487,1,0.7724137931034483,0.0,0.3366812890458528,2024-11-04 8:11:51,0,0,2
0.030778851916512494,2023-02-28 16:36:58,1,20,1,0.8548387096774193,2,0.09655172413793102,0.0,0.3797633083592239,2024-11-04 8:09:24,1,0,0
0.04456314980326758,2023-08-11 18:31:31,1,19,1,0.32258064516129037,0,0.2862068965517241,0.0,0.607992073532239,2024-11-04 8:08:13,2,0,0
0.027068296114860464,2023-06-06 18:54:15,1,1,2,0.33870967741935487,1,0.3793103448275862,0.0,0.5964801428269905,2024-11-04 8:07:01,0,0,2
0.07571201500898975,2023-03-02 16:43:56,1,33,2,0.04838709677419356,3,0.296551724137931,0.0,0.12299132740103008,2024-11-04 8:07:09,2,0,3
0.020877087839070278,2023-03-29 16:42:38,1,25,1,0.30645161290322587,1,0.29310344827586204,0.0,0.1737793360642184,2024-11-04 8:11:59,2,0,1
0.06628449331630924,2023-01-24 16:18:32,1,19,2,0.4193548387096775,0,0.6448275862068966,0.0,0.11231022387969408,2024-11-04 8:11:22,0,0,0
0.029137243661568127,2023-09-20 16:55:42,1,11,1,0.14516129032258068,3,0.9413793103448276,0.0,0.08405336115304833,2024-11-04 8:08:30,2,0,0
0.03067462282096047,2023-02-06 16:24:24,1,3,0,0.1774193548387097,0,0.8517241379310345,0.0,0.6535296039320443,2024-11-04 8:06:58,2,0,2
0.4573312140083904,2023-03-13 17:23:24,1,20,2,0.06451612903225812,3,0.4827586206896552,0.0,0.020014465534787865,2024-11-04 8:07:50,2,1,0
0.06488261198113453,2023-10-16 16:32:56,1,39,1,0.5,1,0.1206896551724138,0.0,0.3806929475140387,2024-11-04 8:06:23,0,0,3
0.04058159835318029,2023-11-21 16:58:44,1,25,1,0.12903225806451613,3,0.46551724137931033,0.0,0.05373220208190774,2024-11-04 8:12:18,2,0,1
0.17477655887641036,2023-01-24 17:17:20,1,28,2,0.5967741935483871,2,0.7103448275862069,0.0,0.061716478206919,2024-11-04 8:07:32,0,0,1
